GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08
Id,Id2,Geography,Total:,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more person household
1500000US510030114003,510030114003,"Block Group 3, Census Tract 114, Albemarle County, Virginia",427,109,129,87,53,33,12,4
1500000US510030114004,510030114004,"Block Group 4, Census Tract 114, Albemarle County, Virginia",400,79,161,65,50,24,12,9
1500000US510050801001,510050801001,"Block Group 1, Census Tract 801, Alleghany County, Virginia",385,100,129,74,55,20,4,3
1500000US510050801002,510050801002,"Block Group 2, Census Tract 801, Alleghany County, Virginia",263,78,107,26,37,14,1,0
1500000US510050801003,510050801003,"Block Group 3, Census Tract 801, Alleghany County, Virginia",373,115,117,77,40,20,3,1
1500000US510050801004,510050801004,"Block Group 4, Census Tract 801, Alleghany County, Virginia",522,109,198,107,73,28,4,3
1500000US510050802011,510050802011,"Block Group 1, Census Tract 802.01, Alleghany County, Virginia",605,111,242,116,86,37,7,6
1500000US510050802012,510050802012,"Block Group 2, Census Tract 802.01, Alleghany County, Virginia",597,144,223,126,69,25,8,2
1500000US510050802021,510050802021,"Block Group 1, Census Tract 802.02, Alleghany County, Virginia",575,104,227,114,86,35,5,4
1500000US510050802022,510050802022,"Block Group 2, Census Tract 802.02, Alleghany County, Virginia",148,33,39,36,25,10,3,2
1500000US510050802023,510050802023,"Block Group 3, Census Tract 802.02, Alleghany County, Virginia",290,55,130,54,43,5,2,1
1500000US510050803011,510050803011,"Block Group 1, Census Tract 803.01, Alleghany County, Virginia",791,170,320,140,119,35,3,4
1500000US510050803021,510050803021,"Block Group 1, Census Tract 803.02, Alleghany County, Virginia",251,47,111,50,29,8,5,1
1500000US510050803022,510050803022,"Block Group 2, Census Tract 803.02, Alleghany County, Virginia",96,24,40,10,15,5,2,0
1500000US510050803023,510050803023,"Block Group 3, Census Tract 803.02, Alleghany County, Virginia",253,51,109,44,32,9,5,3
1500000US510079901001,510079901001,"Block Group 1, Census Tract 9901, Amelia County, Virginia",462,102,157,98,62,27,10,6
1500000US510079901002,510079901002,"Block Group 2, Census Tract 9901, Amelia County, Virginia",420,87,143,84,61,31,8,6
1500000US510079901003,510079901003,"Block Group 3, Census Tract 9901, Amelia County, Virginia",484,90,167,89,82,33,12,11
1500000US510079901004,510079901004,"Block Group 4, Census Tract 9901, Amelia County, Virginia",450,102,132,102,72,30,9,3
1500000US510079901005,510079901005,"Block Group 5, Census Tract 9901, Amelia County, Virginia",422,93,156,62,62,21,18,10
1500000US510079902001,510079902001,"Block Group 1, Census Tract 9902, Amelia County, Virginia",527,115,179,103,89,30,6,5
1500000US510079902002,510079902002,"Block Group 2, Census Tract 9902, Amelia County, Virginia",579,120,206,120,81,34,15,3
1500000US510079902003,510079902003,"Block Group 3, Census Tract 9902, Amelia County, Virginia",483,95,180,85,66,39,13,5
1500000US510079902004,510079902004,"Block Group 4, Census Tract 9902, Amelia County, Virginia",413,75,130,97,58,36,10,7
1500000US510090101001,510090101001,"Block Group 1, Census Tract 101, Amherst County, Virginia",524,124,177,94,81,31,13,4
1500000US510090101002,510090101002,"Block Group 2, Census Tract 101, Amherst County, Virginia",490,106,166,87,89,30,10,2
1500000US510090101003,510090101003,"Block Group 3, Census Tract 101, Amherst County, Virginia",371,94,137,63,42,24,6,5
1500000US510090101004,510090101004,"Block Group 4, Census Tract 101, Amherst County, Virginia",605,137,226,109,85,34,9,5
1500000US510090102001,510090102001,"Block Group 1, Census Tract 102, Amherst County, Virginia",647,123,250,119,110,31,6,8
1500000US510090102002,510090102002,"Block Group 2, Census Tract 102, Amherst County, Virginia",1020,392,320,150,101,43,6,8
1500000US510090102003,510090102003,"Block Group 3, Census Tract 102, Amherst County, Virginia",744,157,247,145,116,51,18,10
1500000US510090103001,510090103001,"Block Group 1, Census Tract 103, Amherst County, Virginia",939,162,349,198,152,57,18,3
1500000US510090103002,510090103002,"Block Group 2, Census Tract 103, Amherst County, Virginia",300,48,96,62,60,22,7,5
1500000US510090104011,510090104011,"Block Group 1, Census Tract 104.01, Amherst County, Virginia",844,247,272,169,101,37,12,6
1500000US510090104012,510090104012,"Block Group 2, Census Tract 104.01, Amherst County, Virginia",405,93,111,89,73,30,8,1
1500000US510090104021,510090104021,"Block Group 1, Census Tract 104.02, Amherst County, Virginia",875,189,317,161,126,64,13,5
1500000US510090104022,510090104022,"Block Group 2, Census Tract 104.02, Amherst County, Virginia",383,91,150,70,48,13,11,0
1500000US510090105021,510090105021,"Block Group 1, Census Tract 105.02, Amherst County, Virginia",178,48,71,33,16,4,2,4
1500000US510090105031,510090105031,"Block Group 1, Census Tract 105.03, Amherst County, Virginia",318,83,100,64,41,21,6,3
1500000US510090105032,510090105032,"Block Group 2, Census Tract 105.03, Amherst County, Virginia",720,194,256,148,66,36,13,7
1500000US510090105041,510090105041,"Block Group 1, Census Tract 105.04, Amherst County, Virginia",1110,225,396,226,190,56,14,3
1500000US510090105042,510090105042,"Block Group 2, Census Tract 105.04, Amherst County, Virginia",401,140,151,67,33,8,2,0
1500000US510090106001,510090106001,"Block Group 1, Census Tract 106, Amherst County, Virginia",596,103,197,146,93,45,9,3
1500000US510090106002,510090106002,"Block Group 2, Census Tract 106, Amherst County, Virginia",471,107,169,100,62,16,11,6
1500000US510110401001,510110401001,"Block Group 1, Census Tract 401, Appomattox County, Virginia",397,99,150,68,49,21,6,4
1500000US510110401002,510110401002,"Block Group 2, Census Tract 401, Appomattox County, Virginia",472,109,182,84,63,23,9,2
1500000US510110401003,510110401003,"Block Group 3, Census Tract 401, Appomattox County, Virginia",655,128,235,151,96,33,8,4
1500000US510110401004,510110401004,"Block Group 4, Census Tract 401, Appomattox County, Virginia",335,101,116,52,48,15,2,1
1500000US510110401005,510110401005,"Block Group 5, Census Tract 401, Appomattox County, Virginia",444,111,152,100,51,20,6,4
1500000US510110402001,510110402001,"Block Group 1, Census Tract 402, Appomattox County, Virginia",387,82,135,85,49,24,8,4
1500000US510110402002,510110402002,"Block Group 2, Census Tract 402, Appomattox County, Virginia",449,86,179,69,73,32,4,6
1500000US510110402003,510110402003,"Block Group 3, Census Tract 402, Appomattox County, Virginia",616,115,242,126,83,30,9,11
1500000US510110403001,510110403001,"Block Group 1, Census Tract 403, Appomattox County, Virginia",403,85,148,61,63,27,14,5
1500000US510110403002,510110403002,"Block Group 2, Census Tract 403, Appomattox County, Virginia",290,47,110,61,47,14,8,3
1500000US510110403003,510110403003,"Block Group 3, Census Tract 403, Appomattox County, Virginia",545,86,214,107,96,28,11,3
1500000US510110403004,510110403004,"Block Group 4, Census Tract 403, Appomattox County, Virginia",329,86,104,60,51,18,8,2
1500000US510131001001,510131001001,"Block Group 1, Census Tract 1001, Arlington County, Virginia",276,59,113,47,35,16,4,2
1500000US510131001002,510131001002,"Block Group 2, Census Tract 1001, Arlington County, Virginia",373,106,127,60,64,13,3,0
1500000US510131001003,510131001003,"Block Group 3, Census Tract 1001, Arlington County, Virginia",314,78,99,57,55,16,5,4
1500000US510131001004,510131001004,"Block Group 4, Census Tract 1001, Arlington County, Virginia",296,55,99,58,56,19,2,7
1500000US510131001005,510131001005,"Block Group 5, Census Tract 1001, Arlington County, Virginia",274,54,97,55,54,9,2,3
1500000US510131001006,510131001006,"Block Group 6, Census Tract 1001, Arlington County, Virginia",128,32,41,28,18,6,1,2
1500000US510131002001,510131002001,"Block Group 1, Census Tract 1002, Arlington County, Virginia",226,40,88,42,36,15,3,2
1500000US510131002002,510131002002,"Block Group 2, Census Tract 1002, Arlington County, Virginia",305,72,114,61,34,16,6,2
1500000US510131002003,510131002003,"Block Group 3, Census Tract 1002, Arlington County, Virginia",248,41,85,47,46,20,7,2
1500000US510131002004,510131002004,"Block Group 4, Census Tract 1002, Arlington County, Virginia",367,67,137,71,58,29,3,2
1500000US510131002005,510131002005,"Block Group 5, Census Tract 1002, Arlington County, Virginia",289,87,97,50,41,10,2,2
1500000US510131002006,510131002006,"Block Group 6, Census Tract 1002, Arlington County, Virginia",346,67,138,57,62,18,4,0
1500000US510131002007,510131002007,"Block Group 7, Census Tract 1002, Arlington County, Virginia",349,66,143,61,48,21,7,3
1500000US510131003001,510131003001,"Block Group 1, Census Tract 1003, Arlington County, Virginia",514,92,230,79,72,29,11,1
1500000US510131003002,510131003002,"Block Group 2, Census Tract 1003, Arlington County, Virginia",541,79,218,93,97,37,14,3
1500000US510131003003,510131003003,"Block Group 3, Census Tract 1003, Arlington County, Virginia",364,69,144,67,56,21,5,2
1500000US510131003004,510131003004,"Block Group 4, Census Tract 1003, Arlington County, Virginia",247,36,103,40,41,23,3,1
1500000US510131003005,510131003005,"Block Group 5, Census Tract 1003, Arlington County, Virginia",213,38,80,45,36,13,1,0
1500000US510131003006,510131003006,"Block Group 6, Census Tract 1003, Arlington County, Virginia",220,41,70,38,47,15,5,4
1500000US510131004001,510131004001,"Block Group 1, Census Tract 1004, Arlington County, Virginia",508,85,209,87,85,37,5,0
1500000US510131004002,510131004002,"Block Group 2, Census Tract 1004, Arlington County, Virginia",321,52,142,45,53,20,8,1
1500000US510131004003,510131004003,"Block Group 3, Census Tract 1004, Arlington County, Virginia",428,83,175,69,64,19,13,5
1500000US510131005001,510131005001,"Block Group 1, Census Tract 1005, Arlington County, Virginia",474,122,183,76,76,14,2,1
1500000US510131005002,510131005002,"Block Group 2, Census Tract 1005, Arlington County, Virginia",274,62,95,57,42,15,3,0
1500000US510131005003,510131005003,"Block Group 3, Census Tract 1005, Arlington County, Virginia",494,95,181,91,85,34,5,3
1500000US510131005004,510131005004,"Block Group 4, Census Tract 1005, Arlington County, Virginia",265,55,92,50,48,14,4,2
1500000US510131006001,510131006001,"Block Group 1, Census Tract 1006, Arlington County, Virginia",282,67,95,52,41,17,8,2
1500000US510131006002,510131006002,"Block Group 2, Census Tract 1006, Arlington County, Virginia",270,69,85,55,39,12,4,6
1500000US510131006003,510131006003,"Block Group 3, Census Tract 1006, Arlington County, Virginia",616,240,215,69,56,22,11,3
1500000US510131007001,510131007001,"Block Group 1, Census Tract 1007, Arlington County, Virginia",793,347,248,102,62,20,7,7
1500000US510131007002,510131007002,"Block Group 2, Census Tract 1007, Arlington County, Virginia",209,39,87,40,30,7,3,3
